Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
REMMI 30;"1) Kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüül-kloriidid või bensüül-C12-16-alküüldimetüül kloriidid; 2) n-C10-16-alküültrimetüleen-diamiinide reaktsiooniprodukt kloroäädikhappega; Alates 15.01.2010: Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid;";"1) 68391-01-5 või 68424-85-1; 2) 139734-65-9; Alates 15.01.2010: 68424-85-1";Tooteliik 1;31.12.2024;BESUR OÜ;NA;Komisjoni otsus 2008/809/EÜ
WOLMANIT® CX-10;"1) bis-[1-tsükloheksüül-1,2-di (hüdroksü ĸ O) diaseniumaato (2-)] vask ; 2) vask(II)hüdroksiid 1:1; 3) boorhape";"1) 312600-89-8; 2) 12069-69-1; 3) 10043-35-3";Tooteliik 8;1.09.2018;Dr. Wolman GmbH;NA;"Tööstuslik kasutamine; Taotlus paralleelseks vastastikuseks tunnustamiseks; Komisjoni direktiiv 2012/2/EL; Komisjoni direktiiv 2009/94/EÜ; Komisjoni rakendusmäärus (EL) nr 89/2014"
WOLSIT® EC-100;"1) 1-[[2-(2,4-diklorofenüül)-4-propüül-1,3-dioksolaan-2-üül]metüül]-1H-1,2,4-triasool / propikonasool; 2) m-fenoksübensüül 3-(2,2-diklorovinüül)-2,2-dimetüültsüklopropaankarboksü-laat / permetriin";"1) 60207-90-1; 2) 52645-53-1";Tooteliik 8;1.05.2019;Dr. Wolman GmbH;NA;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus paralleelseks vastastikuseks tunnustamiseks; 1) Komisjoni direktiiv 2008/78/EÜ; 2) Komisjoni rakendusmäärus (EL) nr 1090/2014;"
WOLMANIT® CX-8;"1) bis-[1-tsükloheksüül-1,2-di (hüdroksü ĸ O) diaseniumaato (2-)] vask; 2) vask(II)hüdroksiid 1:1; 3) boorhape";"1) 312600-89-8; 2) 12069-69-1; 3) 10043-35-3";Tooteliik 8;1.09.2018;Dr. Wolman GmbH;NA;"Tööstuslik kasutamine; Taotlus paralleelseks vastastikuseks tunnustamiseks; Komisjoni direktiiv 2012/2/EL; Komisjoni direktiiv 2009/94/EÜ; Komisjoni rakendusmäärus (EL) nr 89/2014"
HALAMID®;Naatriumtosüülklooramiid / kloramiin T;"7080-50-4 /; 127-65-1";Tooteliik 2, 3, 4, 5;31.12.2024;Axcentive SARL;NA;"Kutsealaseks ja tööstuslikuks kasutamiseks; Komisjoni otsus 2008/809/EÜ; Komisjoni otsus 2012/78/EL"
Mögel-Fri;"alküülbensüüldimetüülammooniumkloriid / bensalkooniumkloriid; Alates 28.07.2017; C12-16-alküüldimetüülbensüülammooniumkloriid";"8001-54-5; Alates 28.07.2017; 68424-85-1;";Tooteliik 2;31.12.2024;"AMYNA Eesti OÜ; Alates 28.07.2017; Jape Produkter AB";NA;"Tavatarbija ja kutsealaseks kasutamiseks; Komisjoni rakendusotsus (EL) 2016/1950"
Prick-Fri;"alküülbensüüldimetüülammooniumkloriid / bensalkooniumkloriid; Alates 28.07.2017; C12-16-alküüldimetüülbensüülammooniumkloriid";"8001-54-5; Alates 28.07.2017; 68424-85-1;";Tooteliik 2;31.12.2024;"AMYNA Eesti OÜ; Alates 28.07.2017; Jape Produkter AB";NA;"Tavatarbija ja kutsealaseks kasutamiseks; Komisjoni rakendusotsus (EL) 2016/1950"
"Autan active spray; Alates 04.03.2008: Autan Protection Plus Spray";Ikaridiin;119515-38-7;Tooteliik 19;31.12.2024;"H.Abbe Pharma GmbH; Alates: 03.10.2011; Oy Transmeri Ab";NA;Tavatarbija kasutamiseks
"Autan active pumpspray; Alates 04.03.2008: Autan Protection Plus Pumpspray";Ikaridiin;119515-38-7;Tooteliik 19;31.12.2024;"H.Abbe Pharma GmbH; Alates: 03.10.2011; Oy Transmeri Ab";NA;Tavatarbija kasutamiseks
Bacillol® AF;"1) Propaan-1-ool ; 2) Propaan-2-ool; 3) Etanool";"1) 71-23-8; 2) 67-63-0; 3) 64-17-5";Tooteliik 2, 4;31.12.2024;BODE Chemie GmbH & Co;NA;"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4); 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
Mikrobac® Forte;"1) kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüül-kloriidid; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 68391-01-5; 2) 2372-82-9";Tooteliik 2, 4;31.12.2024;BODE Chemie GmbH & Co;NA;Kutsealaseks kasutamiseks
Dismozon® Pur;magneesium monoperoksüftalaat heksahüdraat (6-vesi);84665-66-7;Tooteliik 2;31.12.2024;BODE Chemie GmbH & Co;NA;Kutsealaseks kasutamiseks
BTC 1218-50;Kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüülkloriidid;68391-01-5;Tooteliik 2, 3, 4;31.12.2024;Celego Eesti OÜ;NA;
BTC 2125 M 50;"1) Kvaternaarsed ammooniumühendid, bensüül-C12-18-alküüldimetüülkloriidid ; 2) kvaternaarsed ammoniumühendid, C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid";"1) 68391-01-5; 2) 85409-23-0";Tooteliik 2, 3, 4;31.12.2024;Celego Eesti OÜ;NA;
Fresh 25;Naatriumhüpoklorit;7681-52-9;"Tooteliik 3; Alates 21.02.2018; Tooteliik 4";1.01.2022;DeLaval;NA;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
TANAGARD 3755;"1) 5-kloro-2-metüül-2H- isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni (vahekorras 3 : 1) sisaldav reaktsioonisegu; 2) 2-oktüül-2H-isotiasool-3- oon (OIT)";"1) 55965-84-9; 2) 26530-20-1";Tooteliik 11;31.12.2024;"Arch Timber Protection Ltd.; Alates 18.04.2019; Lonza Cologne GmbH";NA;"Kutsealseks ja tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
Suma Tab D4;Naatriumdikloroisotsüanuraat dihüdraat;51580-86-0;Tooteliik 2, 3, 4;31.12.2024;Tedex Eesti OÜ;NA;
Muti lõhnakuulid Detia;Lavandiiniõli;91722-69-9;Tooteliik 19;31.12.2024;"Pest-Chemical OÜ; Alates 11.07.2017; Detia Freyberg GmbH";NA;Tavatarbija kasutamiseks
"Sambla-Septik Spray; Alates 06.02.2019:; Sambliku-Septik Spray";"1) kvaternaarsed ammooniumühendid bensüül-C12-16-alküüldimetüül kloriidid ; 2) kvaternaarsed ammooniumühendid bensüül-C12-18-alküüldimetüül-kloriidid; Alates 06.02.2019: C12-16-alküüldimetüülbensüülammooniumkloriid;";"1) 68424-85-1; 2) 68391-01-5 ; Alates 06.02.2019: 68424-85-1";Tooteliik 2;31.12.2024;"Pest-Chemical OÜ; Alates 06.02.2019: Horticom OÜ";NA;Tavatarbija kasutamiseks
"Prügikasti desovahend; Alates 04.04.2008: Prügi-Septik";Lavandula hybrida ekstrakt, Lavendel ekstrakt;91722-69-9;Tooteliik 19;31.12.2024;"Pest-Chemical OÜ; Alates 11.07.2017; Detia Freyberg GmbH";NA;Tavatarbija kasutamiseks
Apesin Combi DR;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin;2372-82-9;Tooteliik 2, 4;31.12.2024;TANA Chemie Gmbh;NA;
Apesin universal;didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2, 4;31.12.2024;TANA Chemie Gmbh;NA;
Apesin Spray;"1) Propaan-2-ool / isopropanool ; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 67-63-0; 2) 2372-82-9";Tooteliik 2, 4;31.12.2024;TANA Chemie Gmbh;NA;1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)
ACTICIDE® MBS;"1) 2-metüül-2H-isotiasool-3- oon (MIT); 2) 1,2-bensisotiasool-3(2H)- oon (BIT)";"1) 2682-20-4; 2) 2634-33-5";Tooteliik 6, 11, 12, 13;31.12.2024;"Thor Specialities (UK) Limited; Alates 28.10.2019; THOR Specialities (UK) Ltd Filial;";NA;"Tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/1726 (TL13); 1) Komisjoni rakendusmäärus (EL) 2017/1278 (TL11); 1) Komisjoni rakendusmäärus(EL) 2017/2004 (TL12)"
ACTICIDE® MV;5-kloro-2-metüül-2H- isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni (vahekorras 3:1) sisaldav reaktsioonisegu;55965-84-9;Tooteliik 2, 6, 11, 12, 13;1.07.2020;"Thor Specialities (UK) Limited; Alates 25.10.2019; THOR Specialities (UK) Ltd Filial";NA;"Tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
ACTICIDE® EP Paste;"1) Diuroon; 2) Karbendasiim; 3) 2-oktüül-2H-isotiasool-3-oon / oktilinoon";"1) 330-54-1; 2) 10605-21-7; 3) 26530-20-1";Tooteliik 7;31.12.2024;Thor Specialities (UK) Limited;NA;Tööstuslikuks kasutamiseks
"Kemwood ACQ 2200; Alates 4.03.2015; Impralit ACQ 2200";"1) vask(II)karbonaat-vask(II)hüdroksiid 1:1; 2) kvaternaarsed ammooniumühendid, bensüül-C12-16-alküüldimetüül kloriidid; 3) boorhape";"1) 12069-69-1; 2) 68424-85-1; 3) 10043-35-3";Tooteliik 8;31.01.2017;"Algol Chemicals OÜ; Alates 4.03.2015; RÜTGERS Organics GmbH";NA;"Tööstuslikuks kasutamiseks; Komisjoni direktiiv 2009/94/EÜ; Komisjoni direktiiv 2012/2/EL; Komisjoni direktiiv 2013/7/EL; Teade vastastikuseks tunnustamiseks"
BIOLIT L- lendavate putukate aerosool;"1) Tetrametriin; 2) Deltametriin ; 3) Piperonüülbutoksiid";"1) 7696-12-0; 2) 52918-63-5; 3) 51-03-6";Tooteliik 18;31.12.2024;"Pest-Chemical OÜ; Alates 3.08.2012; Lybar a.s.";NA;"2) Komisjoni direktiiv 2011/81/EL; 3) Komisjoni rakendusmäärus (EL) 2016/2288 (TL18)"
TRILUX 33 BLACK - YBA067;"1) Vasktiotsüanaat; 2) Tsinkpüritioon";"1) 1111-67-7; 2) 13463-41-7";Tooteliik 21;31.12.2024;International Paint Ltd.;NA;"Tavatarbija ja kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
INTERSPEED 340 (brown, red, black);"1) tsineb / tsinketeen-1,2-bis-ditiokarbamaat ; 2) vask(I)oksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;International Paint Ltd.;NA;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
OFF! Sääsetõrjesuits;püretriin ja püretroid;8003-34-7;Tooteliik 19;31.12.2024;OY Transmeri Ab;NA;Tavatarbija kasutamiseks
BIOLIT PLUS - herilase aerosool;"1) Deltametriin; 2) Piperonüülbutoksiid ; 3) S-bioalletriin ; Alates 19.04.2007: ; 1) Tetrametriin ; 2) Deltametriin";"1) 52918-63-5; 2) 51-03-6; 3) 28434-00-6; Alates 19.04.2007:; 1) 7696-12-0; 2) 52918-63-5";Tooteliik 18;31.12.2024;"Pest-Chemical OÜ; Alates 3.08.2012; Lybar a.s.";NA;2) Komisjoni direktiiv 2011/81/EL
"Envirolyte ANK - Neutral Anolyte; 1) SUPROX FLORA ; 2) SUPROX FOODS ; 3) SUPROX PH ; 4) SUPROX PETS ; 5) SUPROX LIGHT ; 6) SUPROX GREENS ; 7) SUPROX UH ; 8) SUPROX POOLS";Aktiivkloor, hüpokloorishappe ja naatriumhüpokloriti segu, valmistatud in situ;-;Tooteliik 2, 3, 4, 5;31.12.2024;Envirolyte Industries International OÜ;NA;Tavatarbija ja kutsealaseks kasutamiseks
Preventol MP 200;3-jodo-2-propünüülbutüül-karbamaat;55406-53-6;Tooteliik 6, 7, 8, 9, 10, 13;31.12.2024;LANXESS Deutschland GmbH;NA;"Tööstuslikuks kasutamiseks; Komisjoni direktiiv 2008/79/EÜ (TL8); Komisjoni rakendusmäärus (EL) nr 1037/2013 (TL6) ; Komisjoni rakendusmäärus (EL) 2015/1728 (TL13)"
Biolit Plus - sipelga aerosool;"1) Deltametriin; 2) Tetrametriin";"1) 52918-63-5; 2) 7696-12-0";Tooteliik 18;31.12.2024;"Pest-Chemical OÜ; Alates 3.08.2012; Lybar a.s.";NA;1) Komisjoni direktiiv 2011/81/EL
"ROCIMA 523; Alates 1.03.2016; ROCIMA 523 MICROBICIDE";"1) 5-kloro-2-metüül-2H-isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni segu; 2) Bronopool";"1) 55965-84-9; 2) 52-51-7";Tooteliik 6;31.12.2024;"Rohm & Haas Denmark Holding Company ApS; Alates 01.03.2016; Dow Europe GmbH; Alates 01.11.2018; DSP S.A.S.";NA;"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
LAUDAMONIUM;C12-16-alküüldimetüülbensüülammooniumkloriid;68424-85-1;Tooteliik 1, 2;31.12.2024;"ECOLAB GmbH & Co.OHG; Alates 31.01.2018: ; Ecolab sp. z o.o.";NA;Kutsealaseks kasutamiseks
Aura Biostop;"Alates 18.08.2015; 1) IPBC; 2) Tebukonasool; 3) Permetriin; Alates 6.10.14; 1) IPBC; 2) Tebukonasool; 3) Permetriin";"Alates 18.08.2015; 1) 55406-53-6; 2) 107534-96-3; 3) 52645-53-1; Alates 6.10.2014:; 1) 55406-53-6; 2) 107534-96-3; 3) 52645-53-1";Tooteliik 8;1.05.2019;Eskaro AS;NA;"Tavatarbija ja kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni direktiiv 2008/79/EÜ; 2) Komisjoni direktiiv 2008/86/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014;"
SKINMAN SOFT;"1) Kvaternaarsete ammooniumühendite, bensüül-C12-16-alküüldimetüülkloriidid; 2) Propaan-2-ool / isopropanool";"1) 68424-85-1; 2) 67-63-0";Tooteliik 1;31.12.2024;ECOLAB GmbH & Co.OHG;NA;"Kutsealaseks kasutamiseks; 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
SKINSEPT PUR;"1) etanool; 2) Propaan-2-ool / isopropanool ; 3) vesinikperoksiid";"1) 64-17-5; 2) 67-63-0 ; 3) 7722-84-1";Tooteliik 1;31.12.2024;ECOLAB GmbH & Co.OHG;NA;"Kutsealaseks kasutamiseks; 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4); 3) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
SKINSEPT COLOR;"1) etanool; 2) Propaan-2-ool / isopropanool; 3) vesinikperoksiid";"1) 64-17-5; 2) 67-63-0; 3) 7722-84-1";Tooteliik 1;31.12.2024;ECOLAB GmbH & Co.OHG;NA;"Kutsealaseks kasutamiseks; 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4); 3) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
Deconex 50 FF;"1) didetsüüldimetüülammooniumkloriid; 2) glüoksaal / etaandiaal; 3) glutaraal / pentaandiaal";"1) 7173-51-5; 2) 107-22-2; 3) 111-30-8";Tooteliik 2;31.12.2024;Borer Chemie AG;NA;"Kutsealaseks kasutamiseks; 3) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12)"
Decosept;"1) propaan-2-ool / isopropanool; 2) propaan-1-ool; 3) kvaternaarsed ammooniumühendid, bensüül-C12-16-alküüldimetüül kloriidid";"1) 67-63-0; 2) 71-23-8; 3) 68424-85-1";Tooteliik 1;31.12.2024;Borer Chemie AG;NA;"Kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4)"
"ROCIMA 350 ; Alates 1.03.2016; ROCIMA 350 Biocide";"1) 4,5-dikloro-2-oktüül-2H-isotiasool-3-oon; 2) 3-jodo-2-propünüülbutüülkarbamaat";"1) 64359-81-5; 2) 55406-53-6";Tooteliik 7;31.12.2024;"Rohm & Haas Denmark Holding Company ApS; Alates 01.03.2016; Dow Europe GmbH; Alates 01.11.2018; DSP S.A.S.";NA;Kutsealaseks ja tööstuslikuks kasutamiseks
Preventol BIT-TD;"1) Tetrahüdro-1,3,4,6-tetrakis(hüdroksü-metüül)imidasool[4,5-d]imidasool-2,5(1H,3H)-dioon; 2) 1,2-bensisotiasool-3(2H)-oon / proksaan";"1) 5395-50-6; 2) 2634-33-5";Tooteliik 6, 10, 13;31.12.2024;LANXESS Deutschland GmbH;NA;Tööstuslikuks kasutamiseks
Flamil Quick Des;"1) Kvaternaarsed ammooniumühendid, bensüül-C12-16-alküüldimetüül kloriidid ; 2) didetsüüldimetüülammooniumkloriid ; 3) kvaternaarsed ammooniumühendid, C12-14-alküül[(etüülfenüül)metüül]dimetüülkloriidid; 4) propaan-2-ool";"1) 68424-85-1; 2) 7173-51-5; 3) 85409-23-0; 4) 67-63-0";Tooteliik 2, 4;31.12.2024;Flore Keemia OÜ;NA;"Kutsealaseks ja tööstuslikuks kasutamiseks; 4) Komisjoni rakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
Florin Moos Ex;Kvaternaarsed ammoniumühendid, bensüül-C12-18-alküüldimetüülkloriidid;68391-01-5;Tooteliik 10;31.12.2024;Flore Keemia OÜ;NA;Kutsealaseks ja tööstuslikuks kasutamiseks
Flore Sept;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2, 4;31.12.2024;Flore Keemia OÜ;NA;Kutsealaseks ja tööstuslikuks kasutamiseks
Florin Algen Ex;Kvaternaarsed ammooniumühendid, bensüül-C12-16-alküüldimetüül kloriidid;68424-85-1;Tooteliik 2, 11;31.12.2024;Flore Keemia OÜ;NA;Kutsealaseks ja tööstuslikuks kasutamiseks
Preventol® A 19-D;"1) 2-oktüül-2H-isotiasool-3-oon / oktilinoon; 2) 3-(3,4-diklorofenüül)-1,1-dimetüülkarbamiid / diuroon; 3) tsinkpüritioon / 2-merkaptopüridiin- N-oksiid tsingi sool";"1) 26530-20-1; 2) 330-54-1; 3) 13463-41-7";Tooteliik 7, 10;31.12.2024;LANXESS Deutschland GmbH;NA;
"Adolit FPE 30; Adolit FPE 60";"1) Propikonasool; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin; 3) Etofenproks";"1) 60207-90-1; 2) 2372-82-9; 3) 80844-07-1";Tooteliik 8;31.12.2024;Remmers Baustofftechnik GmbH;NA;"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni direktiiv 2008/78/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1036/2013"
Bacillol® Tissues;"1) Propaan-1-ool ; 2) Propaan-2-ool; 3) Etanool";"1) 71-23-8; 2) 67-63-0; 3) 64-17-5";Tooteliik 2, 4;31.12.2024;BODE Chemie GmbH & Co;NA;"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4); 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
MEDISEEP;"PHMB; Alates 19.02.2016; 1) C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16)); 2) D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1) (CHDG);";"27083-27-8; Alates 19.02.2016; 1) 68424-85-1; 2) 18472-51-0";Tooteliik 1;31.12.2024;Baltiachemi OÜ;NA;"Kutsealaseks kasutamiseks; Komisjoni rakendusotsus (EL) 2016/109 (TL1, 6, 9)"
Biolit P - roomavate putukate aerosool;"1) Deltametriin; 2) Tetrametriin";"1) 52918-63-5; 2) 7696-12-0";Tooteliik 18;31.12.2024;"Pest-Chemical OÜ; Alates 3.08.2012; Lybar a.s.";NA;1) Komisjoni direktiiv 2011/81/EL
Biolit UNI - Universaalne aerosool;"1) Deltametriin; 2) Tetrametriin";"1) 52918-63-5; 2) 7696-12-0";Tooteliik 18;31.12.2024;"Pest-Chemical OÜ; Alates 3.08.2012; Lybar a.s.";NA;1) Komisjoni direktiiv 2011/81/EL
"DICHLOFOSS flying & crawling insects; DICHLOFOSS flying insects; DICHLOFOSS crawling insects; Alates 02.06.2009: ; DICHLOFOSS flying & crawling insects; DICHLOFOSS flying insects";"1) Tetrametriin; 2) Tsüfenotriin; Alates 2.04.2015; 1) d-tetrametriin; 2) Tsüfenotriin";"1) 7696-12-0; 2) 39515-40-7; Alates 2.04.2015:; 1) 1166-46-7; 2) 39515-40-7";Tooteliik 18;31.12.2024;"JSC ""BHC group""";"1) 0,15%; 2) 0,15%";"Tavatarbija kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2018/1292"
Clinafarm Spray;1-[2-(allüüloksü)-2-(2,4-diklorofenüül)etüül]-1H-imidasool / imasaliil;35554-44-0;Tooteliik 3;31.12.2024;"Magnum Veterinaaria AS; Alates 15.10.2013:; Eli Lilly Regional Operations GmbH";150 mg/ml;Tavatarbijale ja kutsealaseks kasutamiseks
Solikleen;Naatriumtrokloseen;2893-78-9;Tooteliik 2, 3;31.12.2024;Baltiachemi OÜ;0,09;Kutsealaseks kasutamiseks
Skinman Complete;Etanool;64-17-5;Tooteliik 1;31.12.2024;ECOLAB GmbH & Co.OHG;0,9;Kutsealaseks kasutamiseks
Holz Bio;Didetsüüldimetüülammoniumkloriid;7173-51-5;"Tooteliik 8; Alates 10.08.2011: ; Tooteliik 2, 3, 8,10";31.12.2024;Holz Prof OÜ;"10%; Alates 10.08.2011:; 0,2%";"Tavatarbija kasutamiseks; Komisjoni direktiiv 2013/4/EL"
Grunt Natur;Didetsüüldimetüülammoniumkloriid;7173-51-5;"Tooteliik 2, 8, 10; Alates 18.11.2013:; Tooteliik 2, 3, 4, 8, 10";31.12.2024;Holz Prof OÜ;"10%; Alates 10.08.2011:; 0,2%";"Tavatarbija kasutamiseks; Komisjoni direktiiv 2013/4/EL"
Naatriumhüpoklorit 14-15%;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4, 5;1.01.2022;Kemivesi AS;14-15%;"Tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
ALOE SKINSEPT;"1) Etanool; 2) 12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid; 3) C12–18-alküüldimetüülbensüülammooniumkloriid; Alates 15.05.2017; Etanool";"1) 64-17-5; 2) 85409-23-0; 3) 68391-01-5; Alates 15.05.2017; 64-17-5";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 72 % (w/w); 2) 0,025%; Alates 15.05.2017; 72 % (w/w)";Tavatarbija kasutamiseks
"Desinfitseeriv köögipuhastusvahend; (Professional Fairy Expert Kitchen Disinfecting Degreaser)";"1) Kvaternaarsete bensüül-C12-18-alküüldimetüülammooniumiühendite kloriidid; 2) Kvaternaarsete C12-14-alküül[(etüülfenüül)metüül]dimetüülammooniumiühendite kloriidid";"1) 68391-01-5; 2) 85409-23-0";Tooteliik 2, 4;31.12.2024;"Procter&Gamble Services Eesti OÜ; Alates 19.11.2014; SANITEX Estonia OÜ";"1) 0,076%; 2) 0,076%";Kutsealaseks kasutamiseks
Naatriumhüpoklorit 10%;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4, 5;1.01.2022;Algol Chemicals OÜ;0,1;"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
Desinfé;Etanool;64-17-5;Tooteliik 1;31.12.2024;Certmedica International GmbH;0,665;
Chemisept HF;"1) Etanool; 2) D-glükoonhappe ja N,N″-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1)";"1) 64-17-5; 2) 18472-51-0";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 70% (w/w); 2) 2%";Kutsealaseks kasutamiseks
SUPERCOBRA insecticide anti-crawling insects;"1) α-tsüano-3-fenoksübensüül-2,2-dimetüül-3-(2-metüülprop-1-enüül)tsüklopropaankarboksülaat; 2) d-trans-tetrametriin; Alates 28.09.2016:; 1) α-tsüano-3-fenoksübensüül-2,2-dimetüül-3-(2-metüülprop-1-enüül)tsüklopropaankarboksülaat; 2) d-tetrametriin";"1) 39515-40-7; 2) 1166-46-7";Tooteliik 18;31.12.2024;McBride S.A.;"1) 0,15 %; 2) 0,1 %";"Tavatarbija; 1) Komisjoni rakendusmäärus (EL) 2018/1292"
SUPERCOBRA, insecticide anti-flying insects;"1) d-trans-tetrametriin; 2) 1R-trans- fenotriin / d-fenotriin; Alates 28.09.2016:; 1) d-tetrametriin; 2) 1R-trans- fenotriin";"1) 1166-46-7; 2) 26046-85-5 / 188023-86-1; Alates 28.09.2016:; 1) 1166-46-7; 2) 26046-85-5";Tooteliik 18;31.12.2024;McBride S.A.;"1) 0,08 %; 2) 0,07 %";"Tavatarbija; 2) Komisjoni direktiiv 2013/41/EL"
SUPERCOBRA, insecticide combined;"1) α-tsüano-3-fenoksübensüül-2,2-dimetüül-3-(2-metüülprop-1-enüül)tsüklopropaankarboksülaat; 2) d-trans-tetrametriin; Alates 28.09.2016:; 1) α-tsüano-3-fenoksübensüül-2,2-dimetüül-3-(2-metüülprop-1-enüül)tsüklopropaankarboksülaat; 2) d-tetrametriin";"1) 39515-40-7; 2) 1166-46-7";Tooteliik 18;31.12.2024;McBride S.A.;"1) 0,15 %; 2) 0,15 %";"Tavatarbija; 1) Komisjoni rakendusmäärus (EL) 2018/1292"
Acticide® IPS 30;3-jodo-2-propünüülbutüülkarbamaat;55406-53-6;"Tooteliik 6, 7, 8, 10, 13; Alates 25.10.2019; Tooteliik 6, 7, 10, 13";31.12.2024;"Thor Specialities (UK) Limited; Alates 25.10.2019; THOR Specialities (UK) Ltd Filial;";300 g/kg;"Tööstuslikuks kasutamiseks; Komisjoni direktiiv 2008/79/EÜ (TL8); Komisjoni rakendusmäärus (EL) nr 1037/2013 (TL6); Komisjoni rakendusmäärus (EL) 2015/1728 (TL13) ;"
Acticide® 45;2-oktüül-2H-isotiasool-3-oon;26530-20-1;Tooteliik 6, 7, 9, 11, 13;31.12.2024;Thor Specialities (UK) Limited;465 g/kg;Tööstuslikuks kasutamiseks
Acticide® LA 0614;"1) 5-kloro-2-metüül-2H-isotiasool-3-ooni (Einecs 247-500-7) ja 2-metüül-2H-isotiasool-3-ooni (Einecs 220-239-6) segu; 2) Bronopool";"1) 55965-84-9; 2) 52-51-7";Tooteliik 6, 9, 11, 12;31.12.2024;Thor Specialities (UK) Limited;"1) 4,8 g/kg; 2) 140,0 g/kg";"Tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
